rpa;unidade;endereco;bairro;fone;latitude;longitude
5;US 300 USF DR GERALDO BARRETO CAMPELO / SAN MARTIN / POVO DE DEUS;RUA COMENDADOR FRANCO FERREIRA, 876  - SAN MARTIN;SAN MARTIN;3355-6126;-8,073144307;-34,92917383
5;US 301 USF BONGI / BOA IDEIA;RUA ARAGUAIA, 83 - SAN MARTIN;SAN MARTIN;3355-4636;-8,069296276;-34,92403745
5;US 284 USF VILA SAO MIGUEL / MARROM GLACE;RUA MARIAPOLIS, 132  - AFOGADOS;AFOGADOS;3355-6932;-8,082412663;-34,91185039
5;US 323 USF MUSTARDINHA;RUA MAJOR MARIO PORTELA, 472 - MUSTARDINHA;MUSTARDINHA;3355-6710;-8,067677008;-34,91572045
5;US 344 USF JIQUIA I E II;RUA BEZINHA, 137 - JIQUIA;JIQUIA;3355-4676;-8,084060615;-34,92405139
5;US 177 USF CHICO MENDES / XIMBORE;PRIMEIRA TRAVESSA DO CAMPO, S/N - AREIAS;AREIAS;3355-6426;-8,101216818;-34,93204312
5;US 186 USF JARDIM UCHOA;RUA JUPIRACI, 130 - AREIAS;AREIAS;3355-6211;-8,10100432;-34,93792792
5;US 238 USF IRAQUE / RUA DO RIO;RUA MEARIM, 55 - ESTANCIA;ESTANCIA;3355-6869;-8,090673693;-34,92790126
5;US 294 USF VILA TAMANDARE / BEIRINHA;RUA DIAS CARDOSO, 11 - ESTANCIA;ESTANCIA;3355-6254;-8,093537148;-34,92445032
5;US 239 USF COQUEIRAL I E II;RUA MARIA TEREZA, 174 - COQUEIRAL;COQUEIRAL;3355-0216;-8,084460037;-34,96937853
5;US 245 USF PLANETA DOS MACACOS II;RUA EDGAR CARNEIRO, 929  - JARDIM SAO PAULO;JARDIM SAO PAULO;3355-0059;-8,078167277;-34,95030166
5;US 338 USF GUARULHOS;AV SAO PAULO, 605  - JARDIM SÃO PAULO;JARDIM SAO PAULO;3355-6138;-8,081161227;-34,94028137
5;US 345 USF PLANETA DOS MACACOS I;RUA QUATRO DE SETEMBRO, 145 - CURADO;CURADO;3355-0035;-8,081776633;-34,95382921
5;USF 117 DR. PEDRO GASPAR REGUEIRA COSTA;RUA PADRE DIOGO RODRIGUES, 744 - BARRO;BARRO;3355-2535;-8,08983613;-34,94220911
5;HOSPITAL GERAL OTÁVIO DE FREITAS;RUA APRÍGIO GUIMARÃES, S/N - TEJIPIÓ;TEJIPIÓ;3182-8500;-8,086551;-34,961979
5;US 159 CS AGAMENON MAGALHÃES;PRAÇA LARGO DA PAZ, S/N - AFOGADOS;AFOGADOS;3355-2331;-8,08058776;-34,90551991
5;US 165 MATERNIDADE BANDEIRA FILHO;RUA LONDRINA, S/N - AFOGADOS;AFOGADOS;3355-2230;-8,078977;-34,910797
5;US 161 CS ROMERO MARQUES;RUA CARLOS GOMES, 932 - MADALENA;MADALENA;3355-4440;-8,063814123;-34,91370481
5;US 150  CS FERMAMDES FIGUEIRA;PRAÇ JARDIM SÃO PAULO , S/N - JARDIM SÃO PAULO;JARDIM SAO PAULO;3355-2537;-8,082092521;-34,9388242
5;US 158 PAM CEASA;RODOVIA BR 101 SUL, 11606 - CURADO;CURADO;3355-0090;-8,072489579;-34,94340487
5;HOSPITAL GERAL DE AREIAS;AV. RECIFE, S/N - VILA TAMANDARÉ;AREIAS;3182-3000;-8,100508;-34,928008
5;US 142 BIDU KRAUSE;AV. ONZE DE AGOSTO, S/N - TOTÓ;TOTÓ;3355-2539;-8,07950259;-34,97027277
5;US 164 CRAVO GAMA;RUA DO ROSÁRIO, S/N - AFOGADOS;AFOGADOS;3355-6651;-8,0811407;-34,91022383
6;US 173 USF DANCING DAYS;RUA DANCING DAYS, 109  - IMBIRIBEIRA;IMBIRIBEIRA;3355-6118;-8,103690004;-34,92168645
6;US 174 USF SITIO GRANDE;AV LUXEMBURGO, 254, SITIO GRANDE - IMBIRIBEIRA;IMBIRIBEIRA;3355-6685;-8,102195347;-34,91258197
6;US 187 USF ILHA DE DEUS;RUA SAO JOSE, S/N,  ILHA DE DEUS  - IMBIRIBEIRA;IMBIRIBEIRA;3355-6936;-8,086537851;-34,90190543
6;US 268 USF CAFESOPOLIS;RUA MASCARENHAS DE MORAES, S/N  - IMBIRIBEIRA;IMBIRIBEIRA;3355-6098;-8,098967582;-34,90987036
6;US 269 USF BEIRA DO RIO / COMUNIDADE BOA VIAGEM / LEONIDAS CRAVO GAMA;RUA RIBEIRO DE BRITO, 1361  - BOA VIAGEM;BOA VIAGEM;3355-6090;-8,123183838;-34,90886995
6;US 292 USF VILA DO IPSEP;RUA VIRGINIA HERACLIO, S/N - IPSEP;IPSEP;3355-6687;-8,104898549;-34,92335594
6;US 296 USF COQUEIRAL / IMBIRIBEIRA;RUA SARGENTO SILVINO DE MACEDO, 129  - IMBIRIBEIRA;IMBIRIBEIRA;3355-6103;-8,113355928;-34,90688825
6;US 297 USF DO PINA / JOAO RODRIGUES;RUA BARREIROS, 90 - BEIRA RIO - PINA;PINA;3355-4692;-8,090128584;-34,88503352
6;US 316 USF BERNARDO VAN LEER / BRASILIA TEIMOSA;RUA FRANCISCO VAL PASSOS, S/N - BRASILIA TEIMOSA;BRASILIA TEIMOSA;3355-6407;-8,08567249;-34,88290595
6;US 326 USF JADER DA ANDRADE / COMUNIDADE ENTRA APULSO;RUA CORONEL ANISIO RODRIGUES COELHO, 08 -QD 121  - BOA VIAGEM;BOA VIAGEM;3355-4673;-8,12119499;-34,90721928
6;US 342 USF DJALMA DE HOLANDA CAVALCANTE;RUA DELFIN, 87  - BRASILIA TEIMOSA;BRASILIA TEIMOSA;3355-6122;-8,080168553;-34,87793827
